curso;cor
PEDAGOGIA;ffff00
CIÊNCIA DE DADOS E INTELIGÊNCIA ARTIFICIAL;81fd5f
FISIOTERAPIA;fc7c7c
FONOAUDIOLOGIA;bf8f00
PSICOLOGIA;ff66cc
CIÊNCIAS SOCIAIS;ff7c80
HISTÓRIA;ccff33
RELAÇÕES INTERNACIONAIS;ffd966
SERVIÇO SOCIAL;9476
PEDAGOGIA;ffff00
CIÊNCIA DE DADOS E INTELIGÊNCIA ARTIFICIAL;81fd5f
ARTE: HISTÓRIA, CRÍTICA E CURADORIA;ffffcc
COMUNICAÇÃO DAS ARTES DO CORPO;c65911
COMUNICAÇÃO E MULTIMEIOS;cccc00
COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA;a9d08e
FILOSOFIA;92ab80
JORNALISMO;548235
LETRAS - PORTUGUÊS E INGLÊS - LICENCIATURA;00b050
LETRAS: LÍNGUA INGLESA - TRADUÇÃO: INGLÊS/PORTUGUÊS;00b050
ADMINISTRAÇÃO;acb9ca
CIÊNCIAS ATUARIAIS;d6dce4
CIÊNCIAS CONTÁBEIS;3399ff
CIÊNCIAS ECONÔMICAS;ccffff
