Faculdade;Curso;Turma;Disciplina;Professor
FACHS;FISIOTERAPIA;FISIO-ELETM01;"ELETIVA - FISIOTERAPIA: CUIDADOS PALIATIVOS E O PACIENTE ONCOLÓGICO		";LUCIANE FRIZO MENDES
FACHS;FISIOTERAPIA;FISIO-ELETM01;"ELETIVA - FISIOTERAPIA: CUIDADOS PALIATIVOS E O PACIENTE ONCOLÓGICO		";LUCIANE FRIZO MENDES
FACHS;FISIOTERAPIA;FISIO-ELETM01;"ELETIVA - FISIOTERAPIA: CUIDADOS PALIATIVOS E O PACIENTE ONCOLÓGICO		";LUCIANE FRIZO MENDES
FACHS;FISIOTERAPIA;FISIO-ELETM01;"ELETIVA - FISIOTERAPIA: CUIDADOS PALIATIVOS E O PACIENTE ONCOLÓGICO		";LUCIANE FRIZO MENDES
FACHS;FISIOTERAPIA;FISIO-ELETM01;"ELETIVA - FISIOTERAPIA: CUIDADOS PALIATIVOS E O PACIENTE ONCOLÓGICO		";LUCIANE FRIZO MENDES
FACHS;FISIOTERAPIA;FISIO-ELETM01;"ELETIVA - FISIOTERAPIA: CUIDADOS PALIATIVOS E O PACIENTE ONCOLÓGICO		";LUCIANE FRIZO MENDES
FACHS;FISIOTERAPIA;FISIO-MA1;INTRODUÇÃO À FISIOTERAPIA;LUCIANE FRIZO MENDES
FACHS;FISIOTERAPIA;FISIO-MA1;INTRODUÇÃO À FISIOTERAPIA;LUCIANE FRIZO MENDES
FACHS;FISIOTERAPIA;FISIO-MA1;INTRODUÇÃO À FISIOTERAPIA;LUCIANE FRIZO MENDES
FACHS;FISIOTERAPIA;FISIO-MA1;INTRODUÇÃO À FISIOTERAPIA;LUCIANE FRIZO MENDES
FACHS;FISIOTERAPIA;FISIO-MA1;MORFOFISIOLOGIA HUMANA (SISTEMAS);NOEMI GRIGOLETTO DE BIASE
FACHS;FISIOTERAPIA;FISIO-MA1;MORFOFISIOLOGIA HUMANA (SISTEMAS);NOEMI GRIGOLETTO DE BIASE
FACHS;FISIOTERAPIA;FISIO-MA1;MORFOFISIOLOGIA HUMANA (SISTEMAS);NOEMI GRIGOLETTO DE BIASE
FACHS;FISIOTERAPIA;FISIO-MA1;MORFOFISIOLOGIA HUMANA (SISTEMAS);NOEMI GRIGOLETTO DE BIASE
FACHS;FISIOTERAPIA;FISIO-MA1;MORFOFISIOLOGIA HUMANA (SISTEMAS);NOEMI GRIGOLETTO DE BIASE
FACHS;FISIOTERAPIA;FISIO-MA1;MORFOFISIOLOGIA HUMANA (SISTEMAS);NOEMI GRIGOLETTO DE BIASE
FACHS;FISIOTERAPIA;FISIO-MA1;PRODUÇÃO DE TEXTOS ACADÊMICOS;FABIO JORGE RENOVATO FRANCA
FACHS;FISIOTERAPIA;FISIO-MA1;PRODUÇÃO DE TEXTOS ACADÊMICOS;FABIO JORGE RENOVATO FRANCA
FACHS;FISIOTERAPIA;FISIO-MA1;PRODUÇÃO DE TEXTOS ACADÊMICOS;FABIO JORGE RENOVATO FRANCA
FACHS;FISIOTERAPIA;FISIO-MA1;PRODUÇÃO DE TEXTOS ACADÊMICOS;FABIO JORGE RENOVATO FRANCA
FACHS;FISIOTERAPIA;FISIO-MA1;LÍNGUA ESTRANGEIRA (INGLÊS);MARIA FACHIN SOARES
FACHS;FISIOTERAPIA;FISIO-MA1;LÍNGUA ESTRANGEIRA (INGLÊS);MARIA FACHIN SOARES
FACHS;FISIOTERAPIA;FISIO-MA1;LÍNGUA ESTRANGEIRA (INGLÊS);MARIA FACHIN SOARES
FACHS;FISIOTERAPIA;FISIO-MA1;LÍNGUA ESTRANGEIRA (INGLÊS);MARIA FACHIN SOARES
FACHS;FISIOTERAPIA;FISIO-MA1;EMBRIOLOGIA E GENÉTICA;NOEMI GRIGOLETTO DE BIASE
FACHS;FISIOTERAPIA;FISIO-MA1;EMBRIOLOGIA E GENÉTICA;NOEMI GRIGOLETTO DE BIASE
FACHS;FISIOTERAPIA;FISIO-MA1;EMBRIOLOGIA E GENÉTICA;NOEMI GRIGOLETTO DE BIASE
FACHS;FISIOTERAPIA;FISIO-MA1;EMBRIOLOGIA E GENÉTICA;NOEMI GRIGOLETTO DE BIASE
FACHS;FISIOTERAPIA;FISIO-MA1;EMBRIOLOGIA E GENÉTICA;NOEMI GRIGOLETTO DE BIASE
FACHS;FISIOTERAPIA;FISIO-MA1;EMBRIOLOGIA E GENÉTICA;NOEMI GRIGOLETTO DE BIASE
FACHS;FISIOTERAPIA;FISIO-MA1;CITOLOGIA E HISTOLOGIA;NOEMI GRIGOLETTO DE BIASE
FACHS;FISIOTERAPIA;FISIO-MA1;CITOLOGIA E HISTOLOGIA;NOEMI GRIGOLETTO DE BIASE
FACHS;FISIOTERAPIA;FISIO-MA1;CITOLOGIA E HISTOLOGIA;NOEMI GRIGOLETTO DE BIASE
FACHS;FISIOTERAPIA;FISIO-MA1;CITOLOGIA E HISTOLOGIA;NOEMI GRIGOLETTO DE BIASE
FACHS;FISIOTERAPIA;FISIO-VESTM01;CITOLOGIA E HISTOLOGIA;-
FACHS;FISIOTERAPIA;FISIO-VESTM01;CITOLOGIA E HISTOLOGIA;-
FACHS;FISIOTERAPIA;FISIO-VESTM01;CONSTITUIÇÃO BIOPSICOSSOCIAL DO HUMANO;-
FACHS;FISIOTERAPIA;FISIO-VESTM01;CONSTITUIÇÃO BIOPSICOSSOCIAL DO HUMANO;-
FACHS;FISIOTERAPIA;FISIO-VESTM01;EMBRIOLOGIA E GENÉTICA;-
FACHS;FISIOTERAPIA;FISIO-VESTM01;EMBRIOLOGIA E GENÉTICA;-
FACHS;FISIOTERAPIA;FISIO-VESTM01;INTRODUÇÃO À FISIOTERAPIA;-
FACHS;FISIOTERAPIA;FISIO-VESTM01;INTRODUÇÃO À FISIOTERAPIA;-
FACHS;FISIOTERAPIA;FISIO-VESTM01;INTRODUÇÃO AO PENSAMENTO TEOLÓGICO;-
